,PM10_1
527,47.0
528,45.0
529,43.0
530,40.0
531,41.0
532,39.0
533,38.0
534,38.0
535,39.0
536,41.0
537,39.0
538,36.0
539,39.0
540,42.0
541,42.0
542,37.0
543,38.0
544,40.0
545,36.0
546,31.0
547,33.0
548,33.0
549,31.0
550,25.0
551,24.0
552,30.0
553,31.0
554,34.0
555,34.0
556,31.0
557,31.0
558,29.0
559,32.0
560,27.0
561,27.0
562,28.0
563,34.0
564,33.0
565,29.0
566,23.0
567,24.0
568,24.0
569,31.0
570,31.0
571,23.0
572,23.0
573,23.0
574,18.0
575,19.0
576,24.0
577,29.0
578,27.0
579,27.0
580,24.0
581,23.0
582,24.0
583,24.0
584,24.0
585,25.0
586,25.0
587,31.0
588,34.0
589,27.0
590,23.0
591,26.0
592,22.0
593,24.0
594,23.0
595,28.0
596,34.0
597,37.0
598,32.0
599,31.0
600,33.0
601,35.0
602,31.0
603,31.0
604,29.0
605,29.0
606,28.0
607,30.0
608,29.0
609,34.0
610,39.0
611,39.0
612,38.92536106296938
613,38.92536106296938
614,44.0
615,53.0
616,63.0
617,58.0
618,64.0
619,77.0
620,76.0
621,65.0
622,58.0
623,51.0
624,47.0
625,57.0
626,64.0
627,64.0
628,58.0
629,60.0
630,59.0
631,68.0
632,76.0
633,78.0
634,80.0
635,66.0
636,55.0
637,44.0
638,35.0
639,34.0
640,35.0
641,36.0
642,33.0
643,36.0
644,42.0
645,39.0
646,33.0
647,32.0
648,29.0
649,26.0
650,22.0
651,19.0
652,18.0
653,17.0
654,19.0
655,21.0
656,25.0
657,30.0
658,37.0
659,41.0
660,35.0
661,31.0
662,23.0
663,22.0
664,22.0
665,28.0
666,25.0
667,37.0
668,45.0
669,51.0
670,36.0
671,31.0
672,25.0
673,22.0
674,19.0
675,19.0
676,17.0
677,17.0
678,15.0
679,16.0
680,16.0
681,16.0
682,18.0
683,14.0
684,18.0
685,20.0
686,17.0
687,20.0
688,20.0
689,26.0
690,26.0
691,29.0
692,42.0
693,44.0
694,36.0
695,35.0
696,33.0
697,29.0
698,24.0
699,20.0
700,18.0
701,16.0
702,13.0
703,14.0
704,12.0
705,12.0
706,16.0
707,19.0
708,18.0
709,21.0
710,21.0
711,19.0
712,19.0
713,23.0
714,26.0
715,30.0
716,33.0
717,35.0
718,34.0
719,36.0
720,34.0
721,33.0
722,29.0
723,29.0
724,27.0
725,25.0
726,24.0
727,25.0
728,23.0
729,25.0
730,26.0
731,32.0
732,33.0
733,33.0
734,32.0
735,32.0
736,28.0
737,26.0
738,26.0
739,29.0
740,31.0
741,33.0
742,32.0
743,26.0
744,30.0
745,27.0
746,30.0
747,39.0
748,36.0
749,33.0
750,31.0
751,35.0
752,31.0
753,29.0
754,32.0
755,40.0
756,38.0
757,35.0
758,37.0
759,34.0
760,30.0
761,30.0
762,27.0
763,29.0
764,31.0
765,33.0
766,33.0
767,31.0
768,29.0
769,34.0
770,32.0
771,31.0
772,32.0
773,35.0
774,35.0
775,35.0
776,39.0
777,43.0
778,48.0
779,55.0
780,46.0
781,35.0
782,35.0
783,38.0
784,41.0
785,38.0
786,34.0
787,42.0
788,38.0
789,34.0
790,32.0
791,30.0
792,30.0
793,31.0
794,30.0
795,30.0
796,30.0
797,32.0
798,32.0
799,37.0
800,37.0
801,40.0
802,47.0
803,49.0
804,34.0
805,35.0
806,24.0
807,28.0
808,40.0
809,48.0
810,57.0
811,60.0
812,61.0
813,59.0
814,56.0
815,56.0
816,54.0
817,57.0
818,36.0
819,24.0
820,36.0
821,47.0
822,52.0
823,51.0
824,53.0
825,57.0
826,55.0
827,53.0
828,49.0
829,44.0
830,45.0
831,57.0
832,57.0
833,55.0
834,59.0
835,68.0
836,73.0
837,72.0
838,71.0
839,72.0
840,67.0
841,65.0
842,66.0
843,62.0
844,58.0
845,61.0
846,62.0
847,61.0
848,63.0
849,69.0
850,70.0
851,71.0
852,70.0
853,67.0
854,55.0
855,46.0
856,41.0
857,45.0
858,45.0
859,60.0
860,67.0
861,74.0
862,74.0
863,70.0
864,65.0
865,69.0
866,67.0
867,67.0
868,65.0
869,60.0
870,61.0
871,65.0
872,62.0
873,67.0
874,66.0
875,53.0
876,48.0
877,44.0
878,42.0
879,43.0
880,45.0
881,45.0
882,56.0
883,64.0
884,71.0
885,68.0
886,66.0
887,66.0
888,61.0
889,64.0
890,57.0
891,52.0
892,47.0
893,46.0
894,40.0
895,39.0
896,43.0
897,42.0
898,40.0
899,37.0
900,30.0
901,27.0
902,18.0
903,20.0
904,20.0
905,19.0
906,20.0
907,23.0
908,28.0
909,26.0
910,19.0
911,16.0
912,11.0
913,11.0
914,9.0
915,12.0
916,10.0
917,10.0
918,12.0
919,18.0
920,14.0
921,10.0
922,6.0
923,8.0
924,6.0
925,9.0
926,12.0
927,38.92536106296938
928,38.92536106296938
929,7.0
930,8.0
931,7.0
932,8.0
933,12.0
934,7.0
935,7.0
936,8.0
937,9.0
938,6.0
939,5.0
940,4.0
941,8.0
942,7.0
943,8.0
944,9.0
945,9.0
946,8.0
947,7.0
948,10.0
949,15.0
950,9.0
951,9.0
952,8.0
953,10.0
954,9.0
955,13.0
956,17.0
957,14.0
958,11.0
959,12.0
960,8.0
961,8.0
962,12.0
963,13.0
964,14.0
965,16.0
966,14.0
967,15.0
968,14.0
969,12.0
970,10.0
971,14.0
972,11.0
973,17.0
974,15.0
975,12.0
976,9.0
977,15.0
978,12.0
979,14.0
980,12.0
981,13.0
982,11.0
983,14.0
984,15.0
985,14.0
986,14.0
987,16.0
988,10.0
989,10.0
990,11.0
991,9.0
992,10.0
993,11.0
994,16.0
995,18.0
996,20.0
997,18.0
998,29.0
999,27.0
1000,20.0
1001,24.0
1002,26.0
1003,23.0
1004,19.0
1005,19.0
1006,17.0
1007,18.0
1008,17.0
1009,19.0
1010,16.0
1011,18.0
1012,17.0
1013,18.0
1014,13.0
1015,14.0
1016,13.0
1017,10.0
1018,15.0
1019,19.0
1020,20.0
1021,20.0
1022,19.0
1023,25.0
1024,20.0
1025,21.0
1026,19.0
1027,22.0
1028,23.0
1029,24.0
1030,19.0
1031,20.0
1032,16.0
1033,15.0
1034,16.0
1035,15.0
1036,12.0
1037,15.0
1038,19.0
1039,18.0
1040,19.0
1041,19.0
1042,24.0
1043,27.0
1044,28.0
1045,27.0
1046,26.0
1047,29.0
1048,26.0
1049,25.0
1050,25.0
1051,32.0
1052,29.0
1053,40.0
1054,41.0
1055,39.0
1056,36.0
1057,33.0
1058,34.0
1059,34.0
1060,33.0
1061,32.0
1062,31.0
1063,33.0
1064,32.0
1065,34.0
1066,34.0
1067,39.0
1068,40.0
1069,51.0
1070,54.0
1071,66.0
1072,72.0
1073,77.0
1074,79.0
1075,79.0
1076,82.0
1077,79.0
1078,76.0
1079,79.0
1080,73.0
1081,69.0
1082,65.0
1083,64.0
1084,62.0
1085,68.0
1086,67.0
1087,69.0
1088,65.0
1089,67.0
1090,77.0
1091,82.0
1092,73.0
1093,48.0
1094,37.0
1095,37.0
1096,50.0
1097,59.0
1098,57.0
1099,56.0
1100,51.0
1101,52.0
1102,50.0
1103,49.0
1104,46.0
1105,46.0
1106,42.0
1107,43.0
1108,43.0
1109,46.0
1110,49.0
1111,48.0
1112,48.0
1113,49.0
1114,46.0
1115,51.0
1116,44.0
1117,50.0
1118,53.0
1119,60.0
1120,59.0
1121,63.0
1122,53.0
1123,53.0
1124,52.0
1125,48.0
1126,45.0
1127,42.0
1128,37.0
1129,32.0
1130,27.0
1131,26.0
1132,24.0
1133,27.0
1134,30.0
1135,38.0
1136,39.0
1137,39.0
1138,45.0
1139,44.0
1140,43.0
1141,42.0
1142,40.0
1143,41.0
1144,34.0
1145,34.0
1146,33.0
1147,34.0
1148,37.0
1149,38.0
1150,36.0
1151,35.0
1152,39.0
1153,40.0
1154,41.0
1155,41.0
1156,34.0
1157,36.0
1158,36.0
1159,39.0
1160,42.0
1161,47.0
1162,52.0
1163,58.0
1164,61.0
1165,64.0
1166,72.0
1167,82.0
1168,95.0
1169,102.0
1170,86.0
1171,79.0
1172,79.0
1173,74.0
1174,64.0
1175,61.0
1176,59.0
1177,58.0
1178,52.0
1179,51.0
1180,51.0
1181,55.0
1182,55.0
1183,59.0
1184,61.0
1185,68.0
1186,71.0
1187,81.0
1188,85.0
1189,38.92536106296938
1190,88.0
1191,117.0
1192,110.0
1193,112.0
1194,133.0
1195,154.0
1196,176.0
1197,190.0
1198,194.0
1199,204.0
1200,176.0
1201,168.0
1202,153.0
1203,155.0
1204,146.0
1205,150.0
1206,137.0
1207,142.0
1208,131.0
1209,127.0
1210,119.0
1211,134.0
1212,136.0
1213,154.0
1214,143.0
1215,141.0
1216,103.0
1217,114.0
1218,118.0
