               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   7,            0.019611,           0.0098398,             0.01218,             0.73383,              0.9475,             0.82761,              0.6906,            0.012984,            0.006097,             0.01191,             0.00703,             0.00703,             0.00703
                   8,             0.01823,           0.0093543,            0.011351,             0.75966,              0.9418,             0.84224,             0.73419,            0.011002,           0.0056579,            0.011182,            0.006535,            0.006535,            0.006535
                   9,            0.016359,           0.0089608,            0.010956,             0.84905,             0.91514,             0.89949,             0.80718,           0.0098419,           0.0053981,            0.010606,             0.00604,             0.00604,             0.00604
                  10,            0.015245,           0.0085348,            0.010336,             0.91079,             0.92762,             0.95859,             0.87162,           0.0093646,           0.0052853,            0.010268,            0.005545,            0.005545,            0.005545
                   0,            0.067787,            0.019388,            0.034531,             0.20734,             0.69619,              0.2525,             0.10596,            0.038392,           0.0060621,            0.025298,            0.070057,            0.003327,            0.003327
                   1,            0.042095,            0.013464,            0.029265,             0.21426,             0.82114,             0.26115,             0.10307,            0.037543,           0.0047186,            0.022489,            0.039757,           0.0063606,           0.0063606
                   2,              0.0381,            0.011404,            0.027572,               0.264,              0.8527,             0.38008,             0.25176,            0.024193,           0.0037725,             0.02208,           0.0091576,           0.0090942,           0.0090942
                   3,            0.033758,            0.010395,            0.025518,             0.32105,             0.87709,             0.40024,             0.21121,            0.035203,           0.0045109,            0.020469,             0.00865,             0.00865,             0.00865
                   4,            0.031422,           0.0098016,            0.023452,             0.33694,             0.72259,             0.37363,             0.19545,            0.030075,           0.0060323,            0.020131,             0.00865,             0.00865,             0.00865
                   5,            0.028839,            0.009343,            0.021304,             0.46381,             0.92271,             0.61653,             0.33952,            0.030367,            0.003793,            0.017464,              0.0082,              0.0082,              0.0082
                   6,             0.02696,           0.0089532,             0.01906,             0.46787,             0.90585,             0.60303,              0.3917,            0.025225,           0.0037751,            0.016854,             0.00775,             0.00775,             0.00775
                   0,            0.067508,            0.019449,            0.034664,             0.20904,             0.75429,             0.27014,             0.15452,            0.026878,           0.0068105,            0.025282,            0.070057,            0.003327,            0.003327
                   1,            0.041843,            0.013427,             0.02927,              0.2023,             0.77887,             0.22718,              0.0952,            0.038831,            0.004669,            0.022707,            0.039757,           0.0063606,           0.0063606
                   2,            0.037926,            0.011358,            0.027482,              0.3121,             0.87747,             0.38841,             0.21496,             0.02696,           0.0043694,            0.021227,           0.0091576,           0.0090942,           0.0090942
                   3,            0.034098,            0.010433,             0.02507,             0.32735,             0.83295,             0.40651,              0.1847,            0.030726,           0.0048903,            0.019851,             0.00865,             0.00865,             0.00865
                   4,            0.031977,           0.0096535,             0.02274,             0.38145,             0.93666,             0.53841,             0.28253,            0.030952,           0.0046255,            0.018581,             0.00865,             0.00865,             0.00865
                   5,             0.02921,            0.009176,            0.019691,             0.46567,             0.85634,             0.58164,             0.35875,            0.025208,            0.004388,            0.016924,              0.0082,              0.0082,              0.0082
                   6,            0.026992,           0.0088905,            0.017044,             0.49074,             0.93971,             0.64215,             0.39397,            0.030379,           0.0041812,            0.015365,             0.00775,             0.00775,             0.00775
                   7,            0.026273,           0.0085962,            0.015888,             0.57569,             0.92755,             0.67983,             0.48533,            0.021092,           0.0033573,            0.014297,              0.0073,              0.0073,              0.0073
                   8,            0.024706,            0.008465,            0.014738,             0.63123,             0.87857,             0.70592,             0.50294,            0.017952,           0.0034341,             0.01356,             0.00685,             0.00685,             0.00685
                   9,            0.023913,            0.008216,             0.01442,             0.57941,             0.94651,             0.72506,             0.47452,            0.021862,           0.0038718,              0.0144,              0.0064,              0.0064,              0.0064
                  10,            0.022788,           0.0081734,            0.013825,             0.61695,             0.89273,             0.72998,             0.47738,             0.02175,            0.003273,            0.012727,             0.00595,             0.00595,             0.00595
                  11,             0.02183,           0.0079462,            0.013161,             0.64335,             0.94422,             0.74929,             0.55354,            0.017227,           0.0030194,            0.011684,              0.0055,              0.0055,              0.0055
                  12,            0.020853,           0.0077327,            0.012759,             0.66024,             0.93612,             0.73643,             0.56872,            0.017279,           0.0030975,            0.013059,             0.00505,             0.00505,             0.00505
                  13,            0.020381,           0.0073579,            0.012642,             0.59886,             0.93777,             0.73669,             0.52076,            0.020035,           0.0038452,            0.011677,              0.0046,              0.0046,              0.0046
                  14,            0.019164,           0.0070584,            0.011922,             0.69236,             0.96764,             0.75482,             0.57534,            0.016055,           0.0030532,            0.011773,             0.00415,             0.00415,             0.00415
                  15,            0.018379,           0.0070172,            0.011206,              0.6632,             0.95662,             0.75166,             0.60122,             0.01576,            0.002748,            0.011114,              0.0037,              0.0037,              0.0037
                  16,            0.017928,           0.0068203,            0.011118,             0.68956,             0.94856,             0.75474,             0.58681,            0.017353,           0.0027218,             0.01115,             0.00325,             0.00325,             0.00325
                  17,            0.017168,           0.0066741,            0.010821,             0.70251,             0.96902,             0.75416,             0.60085,            0.014689,           0.0025174,            0.010629,              0.0028,              0.0028,              0.0028
                  18,            0.017119,           0.0067437,            0.010945,             0.70407,             0.97196,             0.75498,             0.60378,            0.015133,           0.0028525,            0.010576,             0.00235,             0.00235,             0.00235
                  19,            0.016747,           0.0069148,            0.010892,             0.68158,              0.9623,             0.76415,             0.60728,            0.014111,           0.0029817,            0.010252,              0.0019,              0.0019,              0.0019
                   0,            0.067261,             0.03389,            0.056609,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070057,            0.003327,            0.003327
                   1,            0.044956,            0.021608,            0.046497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039398,            0.006001,            0.006001
                   2,             0.04249,            0.017243,            0.033546,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080783,           0.0080149,           0.0080149
                   3,            0.035971,            0.014738,            0.021132,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.031106,            0.013834,            0.017259,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.025647,            0.012695,            0.015473,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.022028,            0.011764,            0.014587,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                   7,             0.01901,            0.011151,            0.014105,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.015785,            0.010496,            0.013155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.013156,            0.009842,            0.012067,             0.70177,             0.97724,             0.76938,             0.71969,           0.0083309,           0.0054831,            0.012983,             0.00208,             0.00208,             0.00208
                   0,            0.068751,            0.033642,            0.058513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070316,           0.0031129,           0.0031129
                   1,            0.045209,            0.021798,            0.050928,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041891,           0.0056147,           0.0056147
                   2,            0.042637,            0.016917,            0.039633,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.012849,           0.0074991,           0.0074991
                   3,            0.037992,             0.01509,            0.024365,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069527,           0.0069527,           0.0069527
                   4,            0.033134,            0.013738,            0.018318,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0069527,           0.0069527,           0.0069527
                   5,            0.027256,            0.012361,            0.016704,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059736,           0.0059736,           0.0059736
                   6,            0.023294,            0.011797,            0.015731,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049945,           0.0049945,           0.0049945
                   7,            0.019785,            0.011145,            0.014731,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040153,           0.0040153,           0.0040153
                   8,            0.016719,             0.01036,              0.0136,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030362,           0.0030362,           0.0030362
                   9,            0.013781,           0.0096594,            0.013141,             0.67802,             0.97198,             0.76108,             0.69934,           0.0090571,           0.0053891,            0.014338,           0.0020571,           0.0020571,           0.0020571
                   0,            0.068978,            0.038324,            0.054812,             0.22151,             0.80352,             0.27366,             0.13958,            0.040665,            0.018446,            0.045816,            0.070114,           0.0033207,           0.0033207
                   1,            0.044407,            0.027468,            0.042295,             0.27642,             0.80926,             0.34852,             0.17313,            0.049001,             0.01498,            0.035962,            0.039455,           0.0059952,           0.0059952
                   2,            0.040428,            0.023674,             0.03262,             0.45621,              0.8496,             0.60174,             0.27838,            0.043595,            0.014559,             0.02301,           0.0081366,           0.0080098,           0.0080098
                   3,            0.034958,            0.022471,             0.02179,             0.52663,             0.92686,             0.63174,             0.33696,            0.037684,            0.012212,             0.02318,             0.00703,             0.00703,             0.00703
                   4,            0.030473,            0.021568,            0.019269,             0.54544,             0.92775,             0.64125,             0.41466,            0.030109,            0.013106,            0.017334,             0.00703,             0.00703,             0.00703
                   5,            0.026552,             0.02099,            0.018264,             0.48829,             0.90955,             0.63535,             0.35983,            0.032708,            0.013271,            0.016134,             0.00604,             0.00604,             0.00604
                   6,            0.023417,             0.01981,            0.016465,              0.5688,              0.9251,             0.64672,             0.41781,             0.02733,             0.01363,             0.01678,             0.00505,             0.00505,             0.00505
                   7,            0.020722,            0.018863,            0.016315,             0.60249,               0.973,              0.6912,             0.48762,            0.024851,           0.0095725,            0.015287,             0.00406,             0.00406,             0.00406
                   8,            0.018486,            0.018378,            0.015447,             0.60597,             0.94617,             0.68942,             0.50103,            0.022017,            0.010316,            0.015675,             0.00307,             0.00307,             0.00307
                   9,            0.016649,            0.017737,            0.014683,             0.60493,              0.9758,             0.69991,             0.55719,            0.017086,            0.010045,            0.014645,             0.00208,             0.00208,             0.00208
