month,day,hour,남녀성비,총생활인구수_1시간전,총생활인구수_3시간전,총생활인구수_24시간전,총생활인구수_3시간전평균,총생활인구수_6시간전평균,총생활인구수_12시간전평균,총생활인구수_24시간전평균
9,25,7,1.0672210707182668,40174.75787999996,40636.00107999996,39649.63504,37101.22580666665,35719.61554999998,34940.96865999998,36944.84923833331
9,25,8,1.0844454732148012,40529.02829999996,39658.86615999994,40013.20227999998,38448.09450666665,36634.98265999998,35279.64997499998,36999.28625833331
9,25,9,1.0912230914695193,40636.00107999996,39382.58111999996,40202.64911999996,39439.04684666664,37606.850279999984,35769.92637166664,37034.60778999997
9,25,10,1.100383068119879,39658.86615999994,39526.13561999994,40227.35577999998,40096.897226666646,38599.06151666665,36313.86974666664,37049.910645833304
9,25,11,1.0967529011683803,39382.58111999996,39663.793079999996,39780.63559999998,40446.5957533333,39447.34512999997,36894.10878666665,37088.56569916664
9,25,12,1.10012578493202,39526.13561999994,38676.79205999998,39418.705740000005,40274.63184666662,39856.83934666663,37393.327351666645,37105.063211666646
9,25,13,1.1070849689919242,39663.793079999996,37795.45251999996,39781.54085999999,39892.482786666624,39994.690006666635,37857.1527783333,37124.580486666644
9,25,14,1.1043499354504143,38676.79205999998,38051.66957999998,40059.75138,39522.52763333328,39984.561693333286,38309.77217666663,37116.68704583331
9,25,15,1.0897538132398847,37795.45251999996,37332.67863999996,39169.404999999955,39524.16993999997,39899.400893333295,38753.12558666663,37105.31858749997
9,25,16,1.1096364880231826,38051.66957999998,35583.45059999996,37964.889540000004,39288.90691999998,39590.6948533333,39094.87818499997,37096.9968583333
9,25,17,1.0949190996416285,37332.67863999996,34578.76481999998,37863.29391999996,38712.01255333331,39117.270093333296,39282.30761166663,37090.228279166644
9,25,18,1.0554493864069459,35583.45059999996,34053.87767999998,37060.74395999998,38174.63805333331,38849.40399666664,39353.12167166663,37091.04998999998
9,25,19,1.0380227467086642,34578.76481999998,34110.422499999964,36164.13165999998,37726.60024666664,38507.7535833333,39251.22179499997,37096.09522749997
9,25,20,1.0503115681209263,34053.87767999998,34167.03855999998,35022.32115999998,36989.266273333305,37850.63941333331,38917.600553333294,37098.62526416664
9,25,21,1.0430349976227713,34110.422499999964,34042.315479999976,34476.93099999994,35831.6313533333,37003.13470333331,38451.2677983333,37110.59708499997
9,25,22,1.037938151952088,34167.03855999998,34457.44964,34829.820099999975,34738.69769999998,36232.64897333331,37911.6719133333,37112.77082999997
9,25,23,1.0544650941340923,34042.315479999976,34720.76484,34880.044119999984,34247.68833333332,35618.477303333304,37367.8736983333,37130.99124249997
9,26,0,1.050691034774736,34457.44964,34924.30083999996,34588.03099999998,34110.44624666665,34971.03879999997,36910.2213983333,37151.77437499997
9,26,1,1.0445081403943892,34720.76484,35910.35552,35146.779,34106.59217999998,34422.64493999998,36465.19926166664,37161.17601999997
9,26,2,1.0516894524875455,34924.30083999996,37453.89001999998,35401.26038000001,34222.26789333332,34234.97811333331,36042.80876333331,37176.29046999997
9,26,3,1.0543325947399937,35910.35552,38645.46995999998,35679.027339999986,34406.84331999999,34258.644783333315,35630.88974333331,37192.007664999976
9,26,4,1.0596161692522057,37453.89001999998,39649.63504,36543.96296,34700.83843999999,34403.71530999998,35318.18214166664,37206.53016333331
9,26,5,1.0575144557225002,38645.46995999998,40013.20227999998,38243.589859999935,35185.14039999998,34703.704146666656,35161.09072499998,37221.69916833331
9,26,6,1.0563341588141986,39649.63504,40202.64911999996,39651.86467999994,36096.18212666665,35251.51272333332,35111.27576166665,37232.19871666664
9,26,7,1.0579172544751159,40013.20227999998,40227.35577999998,41186.66607999998,37336.57183333332,36018.70513666665,35220.67503833331,37235.948416666644
9,26,8,1.0715654761198958,40202.64911999996,39780.63559999998,41458.92718,38582.99833999999,36884.06936999999,35559.52374166666,37238.56214749997
9,26,9,1.0619173255096883,40227.35577999998,39418.705740000005,41666.11937999996,39436.10242666666,37766.14227666665,36012.39352999999,37231.830664166635
9,26,10,1.0800138696308974,39780.63559999998,39781.54085999999,41853.34565999998,39955.16214666665,38645.86698999998,36524.79114999998,37218.23153166664
9,26,11,1.0734663924721606,39418.705740000005,40059.75138,40578.299199999936,40147.735726666644,39365.367033333314,37034.535589999985,37201.20464416664
9,26,12,1.0888731400009546,39781.54085999999,39169.404999999955,40657.434279999965,40070.213499999976,39753.15796333331,37502.33534333332,37206.27837083331
9,26,13,1.079415600828011,40059.75138,37964.889540000004,41491.286100000005,39808.89903999999,39882.03059333332,37950.367864999986,37207.78356333331
9,26,14,1.0815397069213064,39169.404999999955,37863.29391999996,42092.55365999996,39660.29406666666,39904.01489666665,38394.042133333314,37218.42544833331
9,26,15,1.0829412233129752,37964.889540000004,37060.74395999998,41276.60725999998,39753.33266,39911.77307999999,38838.95767833332,37234.92371083331
9,26,16,1.0883513238527969,37863.29391999996,36164.13165999998,39964.038879999986,39670.23241333332,39739.565726666646,39192.71635833332,37255.44924999998
9,26,17,1.0972007338725427,37060.74395999998,35022.32115999998,39471.08875999998,39064.681973333325,39362.48801999999,39363.92752666665,37262.50912583331
9,26,18,1.067953228295978,36164.13165999998,34476.93099999994,37816.20519999998,38332.529486666645,39042.93107333332,39398.044518333314,37254.66013999998
9,26,19,1.0476714826297615,35022.32115999998,34829.820099999975,36107.239419999954,37629.64247333331,38649.93744333332,39265.984018333314,37243.329528333314
9,26,20,1.049043809016966,34476.93099999994,34880.044119999984,35021.428679999975,37029.389846666636,38047.03590999998,38975.52540333332,37267.52457249998
9,26,21,1.0344805099917256,34829.820099999975,34588.03099999998,34552.54421999998,36082.39892666665,37207.46420666664,38559.61864333331,37286.00608666665
9,26,22,1.045242856868867,34880.044119999984,35146.779,34750.985639999955,35221.12793999997,36425.38520666664,38082.47546666665,37303.63330833331
9,26,23,1.0445931596880613,34588.03099999998,35401.26038000001,34762.57734,34776.357419999964,35902.8736333333,37632.68082666664,37333.60820833331
9,27,0,1.0392544683326779,35146.779,35679.027339999986,34892.90369999998,34728.93173999997,35405.6653333333,37224.29820333331,37363.31677333332
9,27,1,1.0386687324369137,35401.26038000001,36543.96296,35154.60711999996,34765.96507333332,34993.546506666644,36821.741974999975,37386.05491999998
9,27,2,1.0454304250651156,35679.027339999986,38243.589859999935,35512.312899999975,34871.618039999994,34823.98772999998,36435.51181999998,37414.776976666646
9,27,3,1.052316276067663,36543.96296,39651.86467999994,35711.465239999976,35045.35679333333,34887.14426666665,36047.30423666664,37443.13095749998
9,27,4,1.0572302296299343,38243.589859999935,41186.66607999998,36609.95715999996,35409.02224,35087.49365666666,35756.439431666644,37474.57789499998
9,27,5,1.0471598233487314,39651.86467999994,41458.92718,37890.2234,35874.75022666666,35373.18413333333,35638.02888333331,37500.978204999985
9,27,6,1.0685372859323343,41186.66607999998,41666.11937999996,39144.43518,36822.193386666644,35933.77508999999,35669.72021166665,37533.88236499998
9,27,7,1.0861154872795677,41458.92718,41853.34565999998,40368.536899999934,38146.47249999995,36777.747369999975,35885.64693833331,37575.81547833331
9,27,8,1.1063923096308432,41666.11937999996,40578.299199999936,41042.80315999998,39694.04020666662,37784.395216666635,36304.1914733333,37639.858438333315
9,27,9,1.1200209161245473,41853.34565999998,40657.434279999965,41203.41863999996,40765.81931333331,38794.006349999974,36840.57530833331,37700.096975833316
9,27,10,1.1208185259069263,40578.299199999936,41491.286100000005,41044.79277999996,41437.23754666665,39791.8550233333,37439.674339999976,37761.07490333331
9,27,11,1.1133993779450866,40657.434279999965,42092.55365999996,40076.47021999998,41659.464073333314,40676.75213999997,38024.96813666664,37828.82448166665
9,27,12,1.1123094443572004,41491.286100000005,41276.60725999998,40005.65347999998,41365.92141333329,41065.8703633333,38499.82272666664,37862.06046499998
9,27,13,1.1312189807299016,42092.55365999996,39964.038879999986,40471.55599999996,41029.69304666663,41233.46529666664,39005.60633333331,37913.67415416664
9,27,14,1.1236228862988118,41276.60725999998,39471.08875999998,40645.26611999998,40909.006526666635,41284.23529999998,39534.31525833331,37984.91353916664
9,27,15,1.135673009326805,39964.038879999986,37816.20519999998,39557.38981999998,41413.75801333331,41389.8397133333,40091.923031666636,38069.61363416664
9,27,16,1.1208009618310801,39471.08875999998,36107.239419999954,38717.12127999998,41620.14900666665,41324.92102666664,40558.38802499997,38157.41372833331
9,27,17,1.110024421084575,37816.20519999998,35021.428679999975,38791.12855999998,41111.066599999984,41010.036563333306,40843.39435166663,38240.711617499976
9,27,18,1.0704623922930327,36107.239419999954,34552.54421999998,38044.29223999998,40237.24496666665,40825.50148999997,40945.68592666664,38307.703069166644
9,27,19,1.0636263667909964,35021.428679999975,34750.985639999955,36131.754960000006,39083.77761333332,40351.963309999985,40792.71430333331,38339.18062083331
9,27,20,1.0466663099607234,34552.54421999998,34762.57734,34760.7903,37798.17779333331,39454.62219666664,40369.42874833331,38336.810110833314
9,27,21,1.058109309322811,34750.985639999955,34892.90369999998,34353.17039999998,36314.95776666664,38276.10136666665,39832.97053999997,38336.77292416664
9,27,22,1.0434689838659907,34762.57734,35154.60711999996,34501.737019999986,35227.07077333331,37155.42419333331,39240.17260999997,38339.92347499998
9,27,23,1.04895891098132,34892.90369999998,35512.312899999975,34762.95991999998,34774.98617999997,36286.581986666635,38648.30927499997,38336.63870583331
9,28,0,1.0426124620722,35154.60711999996,35711.465239999976,34570.27325999998,34688.70239999998,35501.83008333331,38163.66578666664,38331.74425666664
9,28,1,1.0374436257427901,35512.312899999975,36609.95715999996,34993.80923999996,34802.155559999985,35014.61316666664,37683.28823833331,38344.44728583331
9,28,2,1.0398926798440347,35711.465239999976,37890.2234,35243.60166,34936.69605333332,34855.84111666664,37155.23165666664,38344.77345749998
9,28,3,1.0437333374593836,36609.95715999996,39144.43518,35397.70721999998,35186.60790666664,34937.655153333304,36606.878259999976,38349.4006458333
9,28,4,1.0531314169987271,37890.2234,40368.536899999934,36253.21345999994,35459.46175333331,35130.80865666664,36143.11642499998,38350.752224999975
9,28,5,1.047962413434448,39144.43518,41042.80315999998,37797.50739999996,35944.57843333331,35440.63724333331,35863.60961499997,38353.5019833333
9,28,6,1.0618041663265072,40368.536899999934,41203.41863999996,39181.93251999996,36737.215266666644,35961.91158666665,35731.87083499997,38338.778380833304
9,28,7,1.0730828483171035,41042.80315999998,41044.79277999996,39757.34995999996,37881.53857999999,36670.50016666664,35842.55666666664,38317.63548499998
9,28,8,1.0902321377261548,41203.41863999996,40076.47021999998,39853.70567999998,39134.39849333331,37539.488463333306,36197.66478999997,38283.54676916664
9,28,9,1.101377848977331,41044.79277999996,40005.65347999998,40226.551699999975,40185.25841333331,38461.236839999976,36699.44599666665,38266.20826833331
9,28,10,1.0938048943161462,40076.47021999998,40471.55599999996,40205.43679999996,40871.5862333333,39376.56240666664,37253.68553166664,38246.92907083331
9,28,11,1.087209310272248,40005.65347999998,40645.26611999998,39675.68582,41097.004859999965,40115.70167666664,37778.169459999976,38213.23936749998
9,28,12,1.0972884033323482,40471.55599999996,39557.38981999998,39643.13035999996,40774.89387999997,40480.07614666664,38220.993866666635,38192.32982666664
9,28,13,1.0976635101997256,40645.26611999998,38717.12127999998,40258.29241999994,40375.63882666664,40623.61252999996,38647.0563483333,38165.17229333331
9,28,14,1.0976665974193935,39557.38981999998,38791.12855999998,40176.43284,40184.55989999997,40640.78237999997,39090.13542166664,38122.68353916664
9,28,15,1.1245783636675744,38717.12127999998,38044.29223999998,39250.08771999997,40374.158533333306,40574.52620666664,39517.88152333331,38062.379891666635
9,28,16,1.1158323119830225,38791.12855999998,36131.754960000006,38578.36783999998,40224.73731333331,40300.188069999975,39838.37523833331,37990.74583166664
9,28,17,1.0901474328090404,38044.29223999998,34760.7903,38804.74995999994,39639.925739999984,39912.24281999998,40013.97224833331,37938.79093166664
9,28,18,1.060054110879919,36131.754960000006,34353.17039999998,38090.87433999996,39021.879886666655,39698.01920999998,40089.04767833331,37910.45925666664
9,28,19,1.0472290595483171,34760.7903,34501.737019999986,37016.56747999998,38517.51402666665,39371.12566999997,39997.369099999974,37919.962883333304
9,28,20,1.0555934710522703,34353.17039999998,34762.95991999998,35739.55111999996,37655.72525333332,38647.82549666665,39644.30393833331,37920.984364166645
9,28,21,1.051373730511141,34501.737019999986,34570.27325999998,35007.44836,36312.27916666667,37667.079526666654,39120.80286666664,37910.12443166665
9,28,22,1.0344296408167943,34762.95991999998,34993.80923999996,34844.15813999996,35081.90522,36799.70962333332,38549.948846666644,37901.81718916664
9,28,23,1.050865513276093,34570.27325999998,35243.60166,34459.20721999998,34538.56590666666,36097.14557999999,38004.69419999998,37891.43182999998
9,29,0,1.050825227360744,34993.80923999996,35397.70721999998,34334.928499999936,34539.28911333332,35425.78413999999,37561.90167499999,37891.44777083331
9,29,1,1.0440897656358843,35243.60166,36253.21345999994,34685.813359999986,34611.656733333315,34846.780976666654,37108.95332333332,37878.00483583331
9,29,2,1.0510369578318297,35397.70721999998,37797.50739999996,34928.83624,34775.68080666664,34657.12335666665,36652.474426666646,37871.304924166645
9,29,3,1.0480013981010834,36253.21345999994,39181.93251999996,35112.55864,34935.89471999998,34737.59191666665,36202.335721666655,37860.10862249998
9,29,4,1.0542695849973147,37797.50739999996,39757.34995999996,36038.13951999998,35211.70603999998,34911.68138666665,35855.69550499998,37847.03537166664
9,29,5,1.0512049616094383,39181.93251999996,39853.70567999998,37810.20065999996,35631.50744666665,35203.59412666664,35650.369853333315,37832.17105083331
9,29,6,1.0530511411009986,39757.34995999996,40226.551699999975,39500.3573,36482.80935999996,35709.35203999997,35567.56808999998,37828.30788416664
9,29,7,1.0622672381186278,39853.70567999998,40205.43679999996,40455.98239999998,37744.217793333286,36477.96191666663,35662.37144666665,37829.87027333331
9,29,8,1.0806266624341099,40226.551699999975,39675.68582,41095.91642,38912.26329333329,37271.88536999997,35964.50436333331,37804.40415083331
9,29,9,1.071179127663568,40205.43679999996,39643.13035999996,41199.19371999998,39597.66271999997,38040.23603999997,36388.91397833331,37754.85842249997
9,29,10,1.067700138861586,39675.68582,40258.29241999994,40721.11148,39945.86911333331,38845.043453333295,36878.36241999997,37714.15563333331
9,29,11,1.0662677755329246,39643.13035999996,40176.43284,40522.68303999998,40095.231393333306,39503.7473433333,37353.67073499997,37679.18246749998
9,29,12,1.059974982343856,40258.29241999994,39250.08771999997,40439.55973999996,40035.891439999985,39816.77707999997,37763.06455999997,37662.48311749998
9,29,13,1.0746345678820877,40176.43284,38578.36783999998,40973.16921999996,39841.41765999998,39893.64338666664,38185.802651666636,37647.37798749998
9,29,14,1.0698076020149845,39250.08771999997,38804.74995999994,41065.25991999998,39859.036199999966,39977.13379666663,38624.5095833333,37638.49200499997
9,29,15,1.0689343321056384,38578.36783999998,38090.87433999996,39862.77672,40025.9518733333,40030.92165666664,39035.578848333294,37618.957284999975
9,29,16,1.0682081064923628,38804.74995999994,37016.56747999998,38481.22683999996,39894.937659999974,39868.177659999965,39356.61055666664,37606.15303083331
9,29,17,1.051823516442376,38090.87433999996,35739.55111999996,37904.50477999998,39334.96279999999,39596.999499999976,39550.37342166664,37600.37163749997
9,29,18,1.0347132797011882,37016.56747999998,35007.44836,37336.363419999994,38877.7351733333,39451.84352333329,39634.310301666635,37600.93919583331
9,29,19,1.0320707113468521,35739.55111999996,34844.15813999996,35695.902739999976,38491.33071333329,39193.13418666663,39543.38878666664,37602.88011666664
9,29,20,1.0384721793693636,35007.44836,34459.20721999998,34362.984319999974,37970.730593333305,38652.84669666664,39314.99024666663,37639.74730499997
9,29,21,1.0327222928488518,34844.15813999996,34334.928499999936,34007.20555999998,36948.997646666634,37913.366409999966,38972.1440333333,37680.5290058333
9,29,22,1.0352258412353386,34459.20721999998,34685.813359999986,34005.22807999996,35921.18898666665,37206.25984999997,38537.21875499997,37707.79058749997
9,29,23,1.0498355321468222,34334.928499999936,34928.83624,34399.16555999998,35197.052539999975,36583.891566666636,38090.44553333331,37722.05813416663
9,30,0,1.0459769167987016,34685.813359999986,35112.55864,34180.16144,34770.27123999998,35859.63444333331,37655.73898333331,37709.401771666635
9,30,1,1.0426064090478993,34928.83624,36038.13951999998,34555.35975999996,34546.097953333294,35233.64346999997,37213.3888283333,37699.59573999997
9,30,2,1.0444382854257843,35112.55864,37810.20065999996,34815.54433999992,34493.31635999997,34845.18444999997,36749.0155733333,37686.7625783333
9,30,3,1.0498950913291036,36038.13951999998,39500.3573,34988.94654,34649.85936666664,34710.065303333315,36311.71585666664,37673.64735249997
